instance,bestValue
f2inter-100-m2const-bufcount-big-1-1,7101
f2inter-100-m2const-bufcount-big-1-2,7300
f2inter-100-m2const-bufcount-big-1-3,7601
f2inter-100-m2const-bufcount-mid-1-1,4936
f2inter-100-m2const-bufcount-mid-1-2,5252
f2inter-100-m2const-bufcount-mid-1-3,5301
f2inter-100-m2const-bufcount-small-1-1,4916
f2inter-100-m2const-bufcount-small-1-2,5234
f2inter-100-m2const-bufcount-small-1-3,5223
f2inter-100-m2const-bufm1-big-28-1,7101
f2inter-100-m2const-bufm1-big-30-3,7601
f2inter-100-m2const-bufm1-big-31-2,7300
f2inter-100-m2const-bufm1-mid-28-1,5076
f2inter-100-m2const-bufm1-mid-30-3,5532
f2inter-100-m2const-bufm1-mid-31-2,5348
f2inter-100-m2const-bufm1-small-28-1,4916
f2inter-100-m2const-bufm1-small-30-3,5223
f2inter-100-m2const-bufm1-small-31-2,5234
f2inter-150-m2const-bufcount-big-1-1,11400
f2inter-150-m2const-bufcount-big-1-2,11850
f2inter-150-m2const-bufcount-big-1-3,11401
f2inter-150-m2const-bufcount-mid-1-1,7309
f2inter-150-m2const-bufcount-mid-1-2,7649
f2inter-150-m2const-bufcount-mid-1-3,7518
f2inter-150-m2const-bufcount-small-1-1,7290
f2inter-150-m2const-bufcount-small-1-2,7623
f2inter-150-m2const-bufcount-small-1-3,7494
f2inter-150-m2const-bufm1-big-24-2,11850
f2inter-150-m2const-bufm1-big-25-1,11400
f2inter-150-m2const-bufm1-big-26-3,11401
f2inter-150-m2const-bufm1-mid-24-2,8052
f2inter-150-m2const-bufm1-mid-25-1,7472
f2inter-150-m2const-bufm1-mid-26-3,7823
f2inter-150-m2const-bufm1-small-24-2,7623
f2inter-150-m2const-bufm1-small-25-1,7290
f2inter-150-m2const-bufm1-small-26-3,7494
f2inter-50-m2const-bufcount-big-1-1,3702
f2inter-50-m2const-bufcount-big-1-2,3851
f2inter-50-m2const-bufcount-big-1-3,3900
f2inter-50-m2const-bufcount-mid-1-1,2702
f2inter-50-m2const-bufcount-mid-1-2,2501
f2inter-50-m2const-bufcount-mid-1-3,2900
f2inter-50-m2const-bufcount-small-1-1,2562
f2inter-50-m2const-bufcount-small-1-2,2454
f2inter-50-m2const-bufcount-small-1-3,2876
f2inter-50-m2const-bufm1-big-22-2,3852
f2inter-50-m2const-bufm1-big-26-1,3702
f2inter-50-m2const-bufm1-big-40-3,3900
f2inter-50-m2const-bufm1-mid-22-2,2641
f2inter-50-m2const-bufm1-mid-26-1,2813
f2inter-50-m2const-bufm1-mid-40-3,3059
f2inter-50-m2const-bufm1-small-22-2,2454
f2inter-50-m2const-bufm1-small-26-1,2562
f2inter-50-m2const-bufm1-small-40-3,2876
f2total-100-m2const-bufcount-big-3-1,7101
f2total-100-m2const-bufcount-big-3-2,7300
f2total-100-m2const-bufcount-big-3-3,7601
f2total-100-m2const-bufcount-mid-3-1,4936
f2total-100-m2const-bufcount-mid-3-2,5252
f2total-100-m2const-bufcount-mid-3-3,5301
f2total-100-m2const-bufcount-small-3-1,4916
f2total-100-m2const-bufcount-small-3-2,5234
f2total-100-m2const-bufcount-small-3-3,5223
f2total-100-m2const-bufm1-big-127-1,7141
f2total-100-m2const-bufm1-big-129-3,7708
f2total-100-m2const-bufm1-big-130-2,7413
f2total-100-m2const-bufm1-mid-127-1,5316
f2total-100-m2const-bufm1-mid-129-3,5860
f2total-100-m2const-bufm1-mid-130-2,5610
f2total-100-m2const-bufm1-small-127-1,4916
f2total-100-m2const-bufm1-small-129-3,5223
f2total-100-m2const-bufm1-small-130-2,5234
f2total-150-m2const-bufcount-big-3-1,11400
f2total-150-m2const-bufcount-big-3-2,11850
f2total-150-m2const-bufcount-big-3-3,11401
f2total-150-m2const-bufcount-mid-3-1,7309
f2total-150-m2const-bufcount-mid-3-2,7649
f2total-150-m2const-bufcount-mid-3-3,7518
f2total-150-m2const-bufcount-small-3-1,7290
f2total-150-m2const-bufcount-small-3-2,7623
f2total-150-m2const-bufcount-small-3-3,7494
f2total-150-m2const-bufm1-big-124-2,11900
f2total-150-m2const-bufm1-big-125-1,11458
f2total-150-m2const-bufm1-big-126-3,11528
f2total-150-m2const-bufm1-mid-124-2,8546
f2total-150-m2const-bufm1-mid-125-1,7755
f2total-150-m2const-bufm1-mid-126-3,8336
f2total-150-m2const-bufm1-small-124-2,7623
f2total-150-m2const-bufm1-small-125-1,7290
f2total-150-m2const-bufm1-small-126-3,7494
f2total-50-m2const-bufcount-big-3-1,3702
f2total-50-m2const-bufcount-big-3-2,3851
f2total-50-m2const-bufcount-big-3-3,3900
f2total-50-m2const-bufcount-mid-3-1,2702
f2total-50-m2const-bufcount-mid-3-2,2501
f2total-50-m2const-bufcount-mid-3-3,2900
f2total-50-m2const-bufcount-small-3-1,2562
f2total-50-m2const-bufcount-small-3-2,2454
f2total-50-m2const-bufcount-small-3-3,2876
f2total-50-m2const-bufm1-big-120-2,3907
f2total-50-m2const-bufm1-big-124-1,3749
f2total-50-m2const-bufm1-big-139-3,3942
f2total-50-m2const-bufm1-mid-120-2,2833
f2total-50-m2const-bufm1-mid-124-1,2960
f2total-50-m2const-bufm1-mid-139-3,3206
f2total-50-m2const-bufm1-small-120-2,2454
f2total-50-m2const-bufm1-small-124-1,2562
f2total-50-m2const-bufm1-small-139-3,2878
